gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000000982	0.6505131	-0.0003110632	0.08009788	0.8807035	1
ENSMUSG00000000983	3.062967	-0.009402383	0.07915262	0.1218145	1
ENSMUSG00000001014	1.668104	0.0007313969	0.07894825	0.8341559	1
ENSMUSG00000001016	481.471	-0.03232687	0.0675369	0.3342375	1
ENSMUSG00000001017	969.5634	0.006705268	0.06453775	0.8475699	1
ENSMUSG00000001018	269.4682	0.005786037	0.06741034	0.8596033	1
ENSMUSG00000001020	10.0008	0.01437742	0.07776788	0.255093	1
ENSMUSG00000001021	6.655605	0.004053226	0.07811661	0.661633	1
ENSMUSG00000001023	0.0392667	0.0003377282	0.08245831	0.8291495	1
ENSMUSG00000001025	42.16831	-0.005520333	0.07604991	0.7618011	1
ENSMUSG00000001027	0.05444717	0	0.08222491	1	1
ENSMUSG00000001029	8.384816	0.003748597	0.07827685	0.6462851	1
ENSMUSG00000001034	89.72825	-0.002190138	0.07532507	0.9137685	1
ENSMUSG00000001036	910.0553	0.03739927	0.06179168	0.3107609	1
ENSMUSG00000001039	51.72553	0.01646501	0.07558451	0.417456	1
ENSMUSG00000001052	334.4063	0.0502044	0.07474444	0.06070573	1
ENSMUSG00000001053	55.37153	0.007017565	0.07610617	0.6982659	1
ENSMUSG00000001054	224.918	0.02108797	0.07188759	0.4507978	1
ENSMUSG00000001056	124.354	0.05906594	0.07349925	0.04739757	1
ENSMUSG00000001062	205.0018	-0.03135126	0.07190992	0.2747056	1
ENSMUSG00000001065	178.7824	0.001847908	0.07013215	0.9504963	1
ENSMUSG00000001082	72.04939	-0.001739345	0.07572807	0.9274022	1
ENSMUSG00000001089	503.7028	0.008569207	0.06659425	0.7977708	1
ENSMUSG00000001098	285.6001	-0.01424882	0.06960018	0.6420088	1
ENSMUSG00000001100	410.3786	-0.04471035	0.07067305	0.1546079	1
ENSMUSG00000001103	4.569532	-0.005070719	0.07897297	0.2943247	1
ENSMUSG00000001105	170.0648	0.003655008	0.07319337	0.8839548	1
ENSMUSG00000001119	1487.143	-0.02542037	0.073248	0.3302436	1
ENSMUSG00000001120	174.3104	-0.03363495	0.07142942	0.2548639	1
ENSMUSG00000001123	18.71089	0.006324264	0.07758457	0.6096088	1
ENSMUSG00000001127	941.3534	-0.02421924	0.06512601	0.4874004	1
ENSMUSG00000001128	25.61347	-0.0133051	0.07770067	0.2962335	1
ENSMUSG00000001131	0.1791153	-0.0001837149	0.08229332	0.9064314	1
ENSMUSG00000001134	25.46495	-0.007494249	0.07704042	0.6138016	1
ENSMUSG00000001138	174.3086	-0.02969806	0.07481104	0.2086756	1
ENSMUSG00000001143	187.2564	0.00512848	0.07534999	0.7997876	1
